Year,Period,Plant,Material Number,Target Value in LC,Target Quantity
2022,7,,,90075.67272727273,26316.8093939394
2022,7,,,261595.9545454545,110379.55484848486
2022,7,,,21248.472727272725,16667.868181818183
2022,7,,,185657.0318181818,43860.33878787878
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,COAL Grade A,0.0,0.0
2022,7,,Solar Electricity,0.0,0.0
2022,7,,Utilities : Effluent Treatment,0.0,0.0
2022,7,,Utilities : Electricity KWH,0.0,0.0
2022,7,,Utilities : Water (Generic),0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,Dextrose Bulk,0.0,0.0
2022,7,,Malt MFM (Batch Managed),0.0,0.0
2022,7,,Maltose Bulk,0.0,0.0
2022,7,AE,,0.0,0.0
2022,7,AE,Bottle: 660RB Flint Diva,747.5499999999998,48.86030303030304
2022,7,AE,Bottle: 660RB Flint Diva,650603.2909090909,41206.06060606061
2022,7,AE,Bottle: 330RB Amber Uno,0.0,0.0
2022,7,AE,Bottle: 330RB Amber Uno,0.0,0.0
2022,7,AE,Bottle: 660RB Green Fish,386.02272727272725,25.954848484848487
2022,7,AE,Bottle: 660RB Green Fish,335677.2636363636,21254.242424242424
2022,7,AE,Bottle: 660RB Green Lite,238.45454545454544,16.612121212121213
2022,7,AE,Bottle: 660RB Green Lite,207358.50909090906,13130.0
2022,7,AE,Bottle: 750RB Amber Calabash,409.59090909090907,30.34939393939394
2022,7,AE,Bottle: 750RB Amber Calabash,356368.0045454545,25090.0
2022,7,AE,Crate: Blue Quart,596437.65,41206.06060606061
2022,7,AE,Crate: Blue Quart,358.05,26.250909090909094
2022,7,AE,Crate: Brown Pint,0.0,0.0
2022,7,AE,Crate: Brown Pint,0.0,0.0
2022,7,AE,Crate: Brown Quart,363156.94545454544,25090.0
2022,7,AE,Crate: Brown Quart,363.0090909090909,26.593636363636364
2022,7,AE,Crate: Navy Quart,307634.18636363634,21254.242424242424
2022,7,AE,Crate: Navy Quart,184.67272727272726,14.273333333333333
2022,7,AE,Crate: Red Quart,190035.4090909091,13130.0
2022,7,AE,Crate: Red Quart,114.08181818181816,9.396363636363636
2022,7,AE,,0.0,0.0
2022,7,AE,Bottle: 750RB Amber Calabash,1566.2045454545453,111.77181818181818
2022,7,AE,Bottle: 750RB Amber Calabash,1362679.7545454544,95934.8484848485
2022,7,AE,Crate: Brown Quart,1388639.3136363637,95934.8484848485
2022,7,AE,Crate: Brown Quart,1388.0545454545452,97.40848484848485
2022,7,AE,Keg: 30L Empty,0.0,0.0
2022,7,AE,Keg: 30L Empty,0.0,0.0
2022,7,AE,Keg: 50L Empty,0.0,0.0
2022,7,AE,Keg: 50L Empty,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,Caustic - Effluent Plant,0.0,0.0
2022,7,,COAL Grade A,0.0,0.0
2022,7,,Solar Electricity,0.0,0.0
2022,7,,Utilities : Effluent Treatment,0.0,0.0
2022,7,,Utilities : Electricity KWH,0.0,0.0
2022,7,,Utilities : Water (Generic),0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,192795.64090909087,62108.51090909092
2022,7,,,59418.92727272727,10224.25787878788
2022,7,,,462441.6,172229.17393939395
2022,7,,,12916.722727272727,9687.476363636364
2022,7,,,18939.322727272727,2326.677878787879
2022,7,,,302480.63636363635,69535.85545454545
2022,7,AE,"BOOK:PASS OUT,NCR",0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
2022,7,,,0.0,0.0
